Date,Adj Close
10/30/2020,200.629044
11/2/2020,200.490295
11/3/2020,204.553009
11/4/2020,214.422455
11/5/2020,221.25972
11/6/2020,221.685806
11/9/2020,216.404266
11/10/2020,209.09137
11/11/2020,214.580994
11/12/2020,213.481094
11/13/2020,214.541351
11/16/2020,215.254822
11/17/2020,212.51001
11/18/2020,209.708328
11/19/2020,211.039612
11/20/2020,209.022812
11/23/2020,208.744629
11/24/2020,212.470276
11/25/2020,212.480209
11/27/2020,213.83136
11/30/2020,212.678909
12/1/2020,214.805008
12/2/2020,213.970459
12/3/2020,212.847809
12/4/2020,212.967026
12/7/2020,212.897461
12/8/2020,214.606293
12/9/2020,210.42366
12/10/2020,209.151978
12/11/2020,211.874161
12/14/2020,212.80806
12/15/2020,212.73851
12/16/2020,217.855042
12/17/2020,217.994141
12/18/2020,217.169525
12/21/2020,221.143524
12/22/2020,222.484772
12/23/2020,219.58374
12/24/2020,221.30249
12/28/2020,223.498123
12/29/2020,222.693375
12/30/2020,220.239441
12/31/2020,220.97464
1/4/2021,216.275391
1/5/2021,216.484009
1/6/2021,210.870728
1/7/2021,216.871475
1/8/2021,218.192841
1/11/2021,216.076691
1/12/2021,213.53331
1/13/2021,214.934158
1/14/2021,211.635742
1/15/2021,211.268127
1/19/2021,215.033493
1/20/2021,222.882172
1/21/2021,223.508072
1/22/2021,224.481689
1/25/2021,228.038437
1/26/2021,230.820251
1/27/2021,231.386536
1/28/2021,237.37735
1/29/2021,230.452652
2/1/2021,238.092667
2/2/2021,237.953583
2/3/2021,241.420914
2/4/2021,240.437332
2/5/2021,240.626099
2/8/2021,240.894363
2/9/2021,242.185913
2/10/2021,241.242081
2/11/2021,242.90123
2/12/2021,243.39798
2/16/2021,242.116364
2/17/2021,243.17189
2/18/2021,242.763596
2/19/2021,239.95549
2/22/2021,233.52269
2/23/2021,232.287918
2/24/2021,233.562531
2/25/2021,228.025925
2/26/2021,231.401657
3/1/2021,235.942459
3/2/2021,232.885376
3/3/2021,226.601944
3/4/2021,225.775436
3/5/2021,230.624939
3/8/2021,226.432663
3/9/2021,232.795761
3/10/2021,231.441483
3/11/2021,236.131653
3/12/2021,234.757462
3/15/2021,233.821411
3/16/2021,236.709213
3/17/2021,236.042038
3/18/2021,229.748642
3/19/2021,229.380203
3/22/2021,234.99646
3/23/2021,236.579758
3/24/2021,234.468689
3/25/2021,231.361816
3/26/2021,235.48439
3/29/2021,234.249603
3/30/2021,230.873886
3/31/2021,234.777374
4/1/2021,241.329681
4/5/2021,248.021393
4/6/2021,246.816483
4/7/2021,248.847885
4/8/2021,252.183777
4/9/2021,254.772858
4/12/2021,254.832596
4/13/2021,257.401733
4/14/2021,254.513931
4/15/2021,258.407471
4/16/2021,259.642242
4/19/2021,257.650665
4/20/2021,257.172699
4/21/2021,259.48291
4/22/2021,256.08728
4/23/2021,260.050537
4/26/2021,260.448853
4/27/2021,260.867065
4/28/2021,253.488266
4/29/2021,251.446899
4/30/2021,251.118286
5/3/2021,250.799637
5/4/2021,246.74678
5/5/2021,245.432327
5/6/2021,248.678604
5/7/2021,251.39711
5/10/2021,246.139343
5/11/2021,245.193329
5/12/2021,237.99379
5/13/2021,242.006805
5/14/2021,247.105255
5/17/2021,244.147766
5/18/2021,242.05661
5/19/2021,242.655457
5/20/2021,246.009033
5/21/2021,244.701538
5/24/2021,250.300827
5/25/2021,251.239029
5/26/2021,251.009476
5/27/2021,248.833633
5/28/2021,249.202911
6/1/2021,246.927277
6/2/2021,246.827469
6/3/2021,245.240524
6/4/2021,250.310791
6/7/2021,253.325027
6/8/2021,252.087418
6/9/2021,253.105453
6/10/2021,256.748474
6/11/2021,257.397247
6/14/2021,259.393433
6/15/2021,257.866333
6/16/2021,256.888214
6/17/2021,260.401489
6/18/2021,258.934296
6/21/2021,262.128174
6/22/2021,265.002686
6/23/2021,264.763123
6/24/2021,266.18042
6/25/2021,264.513611
6/28/2021,268.206543
6/29/2021,270.881409
6/30/2021,270.382385
7/1/2021,271.081055
7/2/2021,277.119476
7/6/2021,277.129456
7/7/2021,279.395111
7/8/2021,276.889923
7/9/2021,277.408936
7/12/2021,276.790131
7/13/2021,280.443115
7/14/2021,281.970215
7/15/2021,280.493011
7/16/2021,280.213562
7/19/2021,276.480713
7/20/2021,278.786285
7/21/2021,280.862305
7/22/2021,285.593262
7/23/2021,289.116516
7/26/2021,288.497681
7/27/2021,285.992493
7/28/2021,285.673096
7/29/2021,285.952576
7/30/2021,284.365601
8/2/2021,284.275787
8/3/2021,286.571381
8/4/2021,285.962555
8/5/2021,288.966797
8/6/2021,288.906921
8/9/2021,287.779053
8/10/2021,285.8927
8/11/2021,286.401733
8/12/2021,289.256256
8/13/2021,292.290436
8/16/2021,294.037109
8/17/2021,292.519989
8/18/2021,290.730011
8/19/2021,296.769989
8/20/2021,304.359985
8/23/2021,304.649994
8/24/2021,302.619995
8/25/2021,302.01001
8/26/2021,299.089996
8/27/2021,299.720001
8/30/2021,303.589996
8/31/2021,301.880005
9/1/2021,301.829987
9/2/2021,301.149994
9/3/2021,301.140015
9/7/2021,300.179993
9/8/2021,300.209991
9/9/2021,297.25
9/10/2021,295.709991
9/13/2021,296.98999
9/14/2021,299.790009
9/15/2021,304.820007
9/16/2021,305.220001
9/17/2021,299.869995
9/20/2021,294.299988
9/21/2021,294.799988
9/22/2021,298.579987
9/23/2021,299.559998
9/24/2021,299.350006
9/27/2021,294.170013
9/28/2021,283.519989
9/29/2021,284
9/30/2021,281.920013
10/1/2021,289.100006
10/4/2021,283.109985
10/5/2021,288.76001
10/6/2021,293.109985
10/7/2021,294.850006
10/8/2021,294.850006
10/11/2021,294.230011
10/12/2021,292.880005
10/13/2021,296.309998
10/14/2021,302.75
10/15/2021,304.209991
10/18/2021,307.290009
10/19/2021,308.230011
10/20/2021,307.410004
10/21/2021,310.76001
10/22/2021,309.160004
10/25/2021,308.130005
10/26/2021,310.109985
10/27/2021,323.170013
10/28/2021,324.350006
10/29/2021,331.619995
